objectid	izena_nombre	longitude	latitude	izena	nombre
6439	Bolatokia / Juego de Bolos	-2,69996096999995	42,8881695970001	Bolatokia	Juego de Bolos
6440	Bolatokia / Juego de Bolos	-2,78579691199997	42,845587214	Bolatokia	Juego de Bolos
6441	Bolatoki / Juego de Bolos	-2,75324035099993	42,8279612640001	Bolatoki	Juego de Bolos
6442	Bolatokia / Juego de Bolos	-2,78678289999994	42,832891526	Bolatokia	Juego de Bolos
6443	Bolatokia / Juego de Bolos	-2,96647789199994	42,8492947460001	Bolatokia	Juego de Bolos
6444	Bolatokia / Juego de Bolos	-2,63340706099996	42,841688644	Bolatokia	Juego de Bolos
6445	Juego de Bolos	-2,62613085299995	42,5457424690001		Juego de Bolos
6446	Bolatokia / Juego de Bolos	-3,09817655399996	42,847276391	Bolatokia	Juego de Bolos
6447	Bolatokia / Juego de Bolos	-2,96658606699998	42,7165546920001	Bolatokia	Juego de Bolos
6448	Bolatokia / Juego de Bolos	-2,86691712999993	42,819864872	Bolatokia	Juego de Bolos
6449	Bolatokia / Juego de Bolos	-3,04169170599994	42,8222760140001	Bolatokia	Juego de Bolos
6450	Bolatokia / Juego de Bolos	-2,73084045199994	42,8614106220001	Bolatokia	Juego de Bolos
6451	Bolatokia / Juego de Bolos	-2,41027414599995	42,871104626	Bolatokia	Juego de Bolos
6452	Bolatokia / Juego de Bolos	-2,70932666299996	42,81308941	Bolatokia	Juego de Bolos
6453	Bolatokia / Juego de Bolos	-2,91782651499995	42,7122074290001	Bolatokia	Juego de Bolos
6454	Bolatokia / Juego de Bolos	-2,33655832099993	42,8517000840001	Bolatokia	Juego de Bolos
6455	Bolatokia / Juego de Bolos	-2,45829346799997	42,8106461030001	Bolatokia	Juego de Bolos
6456	Bolatokia / Juego de Bolos	-2,65590923099995	42,8619303770001	Bolatokia	Juego de Bolos
6457	Bolatokia / Juego de Bolos	-2,70276509299993	42,852515979	Bolatokia	Juego de Bolos
6458	Bolatokia / Juego de Bolos	-2,88335155899995	42,6996597890001	Bolatokia	Juego de Bolos
6459	Bolatokia / Juego de Bolos	-2,74876487599994	42,8636126280001	Bolatokia	Juego de Bolos
6460	Bolatokia / Juego de Bolos	-2,31243839999996	42,8646154150001	Bolatokia	Juego de Bolos
6461	Bolatokia / Juego de Bolos	-2,72227673599997	42,898491892	Bolatokia	Juego de Bolos
6462	Bolatokia / Juego de Bolos	-2,90761326199993	42,7314714790001	Bolatokia	Juego de Bolos
6463	Bolatokia / Juego de Bolos	-2,35724681599993	42,8383101580001	Bolatokia	Juego de Bolos
6464	Bolatokia / Juego de Bolos	-2,87591990999994	42,7406271450001	Bolatokia	Juego de Bolos
6465	Bolatokia / Juego de Bolos	-2,65746340199996	42,8775141780001	Bolatokia	Juego de Bolos
6466	Bolatokia / Juego de Bolos	-2,91333297799997	42,738230081	Bolatokia	Juego de Bolos
6467	Bolatokia / Juego de Bolos	-2,35759028299998	42,847677592	Bolatokia	Juego de Bolos
6468	Bolatokia / Juego de Bolos	-2,65240369499998	42,816893131	Bolatokia	Juego de Bolos
6469	Bolatokia / Juego de Bolos	-2,86197138399996	42,7279134180001	Bolatokia	Juego de Bolos
6470	Juego de Bolos	-2,68002986799996	42,5685101450001		Juego de Bolos
6471	Bolatokia / Juego de Bolos	-2,73995440799996	42,8861061600001	Bolatokia	Juego de Bolos
6472	Bolatokia / Juego de Bolos	-2,36230238099995	42,8975930140001	Bolatokia	Juego de Bolos
6473	Bolatokia / Juego de Bolos	-2,33152346599997	42,8634677010001	Bolatokia	Juego de Bolos
6474	Bolatokia / Juego de Bolos	-2,99319555599993	42,846237639	Bolatokia	Juego de Bolos
6475	Bolatokia / Juego de Bolos	-2,71674193599995	42,863357777	Bolatokia	Juego de Bolos
6476	Bolatokia / Juego de Bolos	-2,44781062799996	42,9110048870001	Bolatokia	Juego de Bolos
6477	Bolatokia / Juego de Bolos	-2,47383877499993	42,822245438	Bolatokia	Juego de Bolos
6478	bolatokia / Juego de Bolos	-2,73246893099997	42,8272842420001	bolatokia	Juego de Bolos
6479	Bolatokia / Juego de Bolos	-2,80518971699996	42,8859655890001	Bolatokia	Juego de Bolos
6480	Bolatokia / Juego de Bolos	-2,39025508499998	42,851368269	Bolatokia	Juego de Bolos
6481	Bolatokia / Juego de Bolos	-2,35917496099995	42,8269742730001	Bolatokia	Juego de Bolos
6482	Bolatokia / Juego de Bolos	-2,38871335699997	42,820291728	Bolatokia	Juego de Bolos
6483	Bolatokia / Juego de Bolos	-2,37341758799994	42,8292143750001	Bolatokia	Juego de Bolos
6484	Bolatokia / Juego de Bolos	-2,80100842499996	42,8914516080001	Bolatokia	Juego de Bolos
6485	Bolatokia / Juego de Bolos	-3,14278258699994	42,8937868210001	Bolatokia	Juego de Bolos
6486	Bolatokia / Juego de Bolos	-2,37573479899993	42,815358824	Bolatokia	Juego de Bolos
6487	Bolatoki / Juego de Bolos	-2,55532706899993	42,825472598	Bolatoki	Juego de Bolos
6488	Bolatokia / Juego de Bolos	-2,59632705499996	42,871911783	Bolatokia	Juego de Bolos
6489	Bolatokia / Juego de Bolos	-2,69054883699994	42,8184434280001	Bolatokia	Juego de Bolos
6490	Bolatokia / Juego de Bolos	-2,43024398199998	42,8350044870001	Bolatokia	Juego de Bolos
6491	Bolatokia / Juego de Bolos	-2,44232713299994	42,8152522410001	Bolatokia	Juego de Bolos
6492	Bolatoki / Juego de Bolos	-2,74490503899995	42,8466741060001	Bolatoki	Juego de Bolos
6493	Bolatokia / Juego de Bolos	-2,49536766899996	42,82549421	Bolatokia	Juego de Bolos
6494	Bolatokia / Juego de Bolos	-2,75545044399996	42,8476877000001	Bolatokia	Juego de Bolos
6495	Bolatokia / Juego de Bolos	-2,77991601899993	42,8750234130001	Bolatokia	Juego de Bolos
6496	Bolatokia / Juego de Bolos	-2,42919307599993	42,848147	Bolatokia	Juego de Bolos
6497	Bolatokia / Juego de Bolos	-2,57778895899998	42,861398793	Bolatokia	Juego de Bolos
6498	Bolatokia / Juego de Bolos	-2,45455420799993	42,8478203600001	Bolatokia	Juego de Bolos
6499	Bolatokia / Juego de Bolos	-3,03985663699996	42,8602792070001	Bolatokia	Juego de Bolos
6500	Bolatokia / Juego de Bolos	-2,52185928599994	42,8153417980001	Bolatokia	Juego de Bolos
6501	Bolatokia / Juego de Bolos	-2,47593667099994	42,857735996	Bolatokia	Juego de Bolos
