pageid	qid
655577	Q7908
655386	Q7909
655441	Q7910
1014121	Q7911
421912	Q7912
1184802	Q7913
1183212	Q7914
1211239	Q7915
1187946	Q7916
1080894	Q7917
1016169	Q7918
1183214	Q7919
1052087	Q7920
970087	Q7921
576801	Q7922
1259909	Q7923
854734	Q7924
94360	Q7925
643440	Q7926
1019302	Q7927
1012367	Q7928
1048403	Q7929
648118	Q7930
648168	Q7931
436753	Q7932
436763	Q7933
1208034	Q7934
1272704	Q7935
1051170	Q7936
49053	Q7937
976194	Q7938
112225	Q7939
1023960	Q7940
1249126	Q7941
1249151	Q7942
1249125	Q7943
164922	Q7944
365813	Q7945
240356	Q7946
1246311	Q7947
226451	Q7948
1246314	Q7949
1239194	Q7950
1255687	Q7951
1261025	Q7952
101496	Q7953
1255749	Q7954
1261005	Q7955
121271	Q7956
595300	Q7957
595276	Q7958
595304	Q7959
595420	Q7960
595424	Q7961
595515	Q7962
595421	Q7963
595419	Q7964
595279	Q7965
595278	Q7966
595468	Q7967
595362	Q7968
595514	Q7969
595418	Q7970
85599	Q7971
595422	Q7972
586364	Q7973
586342	Q7974
586361	Q7975
573292	Q7976
573290	Q7977
573297	Q7978
127760	Q7979
301094	Q7980
750755	Q7981
365816	Q7982
595554	Q7983
595611	Q7984
595704	Q7985
595610	Q7986
595612	Q7987
595696	Q7988
595946	Q7989
595791	Q7990
595792	Q7991
595885	Q7992
595945	Q7993
595989	Q7994
595991	Q7995
595992	Q7996
595893	Q7997
595540	Q7998
595889	Q7999
595990	Q8000
595705	Q8001
595993	Q8002
595706	Q8003
227353	Q8004
595884	Q8005
366334	Q8006
1260379	Q8007
1264091	Q8008
101497	Q8009
1260290	Q8010
586622	Q8011
596536	Q8012
900117	Q8013
900119	Q8014
146909	Q8015
11357	Q8016
568122	Q8017
301354	Q8018
102849	Q8019
579414	Q8020
579418	Q8021
125612	Q8022
579411	Q8023
1258090	Q8024
579421	Q8025
579419	Q8026
579424	Q8027
655868	Q8028
541895	Q8029
655871	Q8030
301203	Q8031
125580	Q8032
301204	Q8033
655611	Q8034
655607	Q8035
645614	Q8036
655743	Q8037
655807	Q8038
655910	Q8039
655867	Q8040
162903	Q8041
655746	Q8042
655741	Q8043
541900	Q8044
655805	Q8045
541909	Q8046
118343	Q8047
301623	Q8048
1072366	Q8049
1073025	Q8050
118146	Q8051
227815	Q8052
118386	Q8053
139967	Q8054
573679	Q8055
91963	Q8056
1050841	Q8057
112994	Q8058
1048143	Q8059
1048199	Q8060
1048197	Q8061
1048201	Q8062
1012976	Q8063
1076870	Q8064
1076497	Q8065
125553	Q8066
586871	Q8067
646032	Q8068
755107	Q8069
571627	Q8070
591714	Q8071
652818	Q8072
521394	Q8073
123245	Q8074
56301	Q8075
896615	Q8076
571578	Q8077
87878	Q8078
87877	Q8079
301396	Q8080
480866	Q8081
928514	Q8082
846747	Q8083
102853	Q8084
1178315	Q8085
80105	Q8086
157086	Q8087
138843	Q8088
745940	Q8089
851658	Q8090
1228103	Q8091
1173293	Q8092
997580	Q8093
1148779	Q8094
63173	Q8095
986527	Q8096
85694	Q8097
1222930	Q8098
616323	Q8099
140992	Q8100
616317	Q8101
1216557	Q8102
295530	Q8103
908737	Q8104
933167	Q8105
1126909	Q8106
1056333	Q8107
88090	Q8108
480983	Q8109
1263798	Q8110
642658	Q8111
1132031	Q8112
1264179	Q8113
